Week,Season,Crop,Amount
1,Spring,potato,1
1,Spring,potato,1
1,Spring,potato,1
1,Spring,potato,1
1,Spring,potato,1
1,Spring,potato,1
1,Spring,carrot,2
1,Spring,carrot,2
1,Spring,carrot,2
1,Spring,carrot,2
1,Spring,carrot,
4,Summer,potato,1
2,Winter,turnip,1
2,Summer,carrot,2
2,Fall,radish,2
3,Spring,turnip,1
1,Fall,spinach,2
4,Fall,turnip,1
1,Winter,turnip,1
2,Spring,spinach,2
1,Fall,radish,2
3,Spring,radish,2
4,Summer,potato,1
1,Winter,potato,1
2,Fall,spinach,2
1,Spring,potato,1
4,Fall,turnip,1
3,Fall,carrot,2
3,Fall,radish,2
1,Summer,carrot,2
4,Spring,spinach,2
1,Winter,turnip,1
2,Summer,carrot,2
2,Spring,potato,1
1,Fall,carrot,2
2,Spring,turnip,1
2,Spring,turnip,1
3,Summer,carrot,2
1,Spring,turnip,1
4,Winter,potato,1
4,Fall,radish,2
2,Summer,potato,1
2,Spring,spinach,2
2,Winter,potato,1
2,Winter,potato,1
1,Fall,spinach,2
3,Summer,potato,1
2,Winter,potato,1
4,Summer,potato,1
1,Summer,carrot,2
2,Fall,spinach,2
2,Fall,radish,2
1,Fall,radish,2
3,Winter,turnip,1
1,Summer,carrot,2
2,Winter,potato,1
4,Spring,potato,1
1,Winter,potato,1
3,Winter,turnip,1
1,Summer,potato,1
3,Summer,potato,1
1,Spring,potato,1
